InChiKey,SMILE,Ca,Cn,Pl,Fp,Af,Max,Average,Stddev,pert_iname
LTVDFSLWFKLJDQ-IEOSBIPESA-N,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O,"0,10300","0,08669","0,08680","0,06830","0,12209","0,12209","0,09338","0,02021",
FPUXKXIZEIDQKW-UEHATNFXSA-N,C[C@@H]1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]12O,"0,10137","0,08320","0,08209","0,06377","0,12209","0,12209","0,09050","0,02211",
QCHFTSOMWOSFHM-WPRPVWTQSA-N,CC[C@H]1[C@@H](Cc2cncn2C)COC1=O,"0,10183","0,08533","0,08467","0,06683","0,12209","0,12209","0,09215","0,02082",
GMRQFYUYWCNGIN-NKMMMXOESA-N,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,"0,10163","0,08369","0,08284","0,06428","0,12207","0,12207","0,09091","0,02187",
QCDYQQDYXPDABM-UHFFFAOYSA-N,Oc1cc(O)cc(O)c1,"0,10214","0,08614","0,08543","0,06782","0,12205","0,12205","0,09272","0,02040",
WYQPLTPSGFELIB-JTQPXKBDSA-N,CCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)COC(C)=O,"0,10254","0,08460","0,08337","0,06460","0,12205","0,12205","0,09143","0,02175",
SRVFFFJZQVENJC-IHRRRGAJSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,"0,10251","0,08699","0,08740","0,06890","0,12202","0,12202","0,09356","0,01987",
QEYNZJBVNYDZKZ-UPHRSURJSA-N,NC(=N)S\C=C/C(O)=O,"0,10213","0,08653","0,08612","0,06866","0,12201","0,12201","0,09309","0,02004",
OBZJZDHRXBKKTJ-JTFADIMSSA-N,NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,"0,10350","0,08701","0,08642","0,06899","0,12200","0,12200","0,09358","0,02003",
PEGQOIGYZLJMIB-UHFFFAOYSA-N,CCCCCc1cccc(CC(O)=O)c1,"0,10224","0,08634","0,08569","0,06803","0,12199","0,12199","0,09286","0,02029",
