InChiKey,SMILE,Ca,Cn,Pl,Fp,Af,Max,Average,Stddev,pert_iname
NVNLLIYOARQCIX-GSJOZIGCSA-N,CC[C@@H](C)[C@@H](N)C(=O)N\C(=C/C)C(=O)N[C@H]1CSC[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)C(=C)NC(=O)[C@@H](NC1=O)[C@@H](C)CC)C(=O)N[C@H]1[C@@H](C)SC[C@@H](NC(=O)CNC(=O)[C@H]2CCCN2C1=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]1[C@@H](C)SC[C@@H](NC(=O)CNC(=O)[C@@H](CCSC)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)CNC1=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]1[C@@H](C)SC[C@H]2NC(=O)[C@@H](NC(=O)[C@@H](C)NC1=O)[C@@H](C)SC[C@@H](NC(=O)[C@@H](Cc1cnc[nH]1)NC2=O)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](C(C)C)C(=O)NC(=C)C(=O)N[C@@H](CCCCN)C(O)=O,"0,23284","0,21928","0,21852","0,19967","0,25018","0,25018","0,22410","0,01876",nisin
DOAKLVKFURWEDJ-QCMAZARJSA-N,[H][C@]1(CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@]([H])(CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CCCCCCCCC)[C@@H](C)OC(=O)[C@]([H])(CC(=O)c2ccccc2N)NC(=O)[C@@]([H])(NC1=O)[C@H](C)CC(O)=O,"0,21787","0,19745","0,19517","0,16912","0,24228","0,24228","0,20438","0,02736",daptomycin
CLKOFPXJLQSYAH-BBLSSJOMSA-N,CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H]1CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC1=O)[C@@H](C)CC,"0,21494","0,19212","0,18966","0,16145","0,24066","0,24066","0,19977","0,02971",bacitracin
JYIKNQVWKBUSNH-WVDDFWQHSA-N,[H][C@@]12C[C@@H](O)CN1C(=O)[C@@H](NC(=O)[C@H](C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]1[C@@H](O)CCN1C(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@H](O)[C@@H](O)c1ccc(O)cc1)[C@H](O)CCN)NC(=O)CCCCCCCC[C@@H](C)C[C@@H](C)CC)[C@@H](C)O,"0,20104","0,17578","0,17313","0,14509","0,22709","0,22709","0,18443","0,03101",caspofungin
YKQOSKADJPQZHB-TULBBYNTSA-N,CC[C@@H](C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,"0,19856","0,17449","0,17269","0,14548","0,22386","0,22386","0,18301","0,02957",colistin
WQVJHHACXVLGBL-XLCZGQJLSA-N,CC[C@@H](C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@@H](CCN)NC(=O)[C@@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O,"0,19815","0,17422","0,17195","0,14496","0,22327","0,22327","0,18251","0,02956",polymyxin-B-sulfate
UCRLQOPRDMGYOA-PIGMFEANSA-L,CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]1CCC(=O)O[Zn]OC(=O)C[C@H]2NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC(=O)[C@H](CCCCNC(=O)[C@H](CC(N)=O)NC2=O)NC(=O)[C@@H](NC1=O)[C@@H](C)CC)[C@@H](C)CC,"0,19766","0,17463","0,17121","0,14534","0,22269","0,22269","0,18231","0,02922",bacitracin-zinc
PTQGBRPUALXNCZ-INRRNNIXSA-N,[H][C@@](CCNCS(O)(=O)=O)(NC(=O)CCCC(C)C)C(=O)N[C@@]([H])([C@@H](C)O)C(=O)N[C@@]([H])(CCNCS(O)(=O)=O)C(=O)N[C@@]1([H])CCNC(=O)[C@@]([H])(NC(=O)[C@]([H])(CCNCS(O)(=O)=O)NC(=O)[C@]([H])(CCNCS(O)(=O)=O)NC(=O)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(CCNCS(O)(=O)=O)NC1=O)[C@@H](C)O,"0,18366","0,16280","0,16115","0,13656","0,20614","0,20614","0,17006","0,02618",colistimethate
PIEUQSKUWLMALL-YABMTYFHSA-N,CCCCCOc1ccc(cc1)-c1cc(no1)-c1ccc(cc1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)c1ccc(O)c(OS(O)(=O)=O)c1)[C@H](O)CC(N)=O,"0,18154","0,15749","0,15455","0,12878","0,20573","0,20573","0,16562","0,02919",micafungin
KXGCNMMJRFDFNR-WDRJZQOASA-N,[H][C@@]12CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@]1([H])CSSC[C@H](N)C(=O)N[C@@]3([H])CSSC[C@]([H])(NC(=O)[C@H](C)NC2=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CSSC[C@]([H])(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(O)=O)NC3=O)C(=O)N1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"0,18173","0,15900","0,15533","0,13107","0,20569","0,20569","0,16656","0,02830",linaclotide
QYOAUOAXCQAEMW-DDZPZTJXSA-N,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCCNCCCCN,"0,18346","0,16329","0,16110","0,13761","0,20500","0,20500","0,17009","0,02539",bleomycetin
YOZNUFWCRFCGIH-WZHZPDAFSA-L,[H]O[Co+]N1\C2=C(C)/C3=N/C(=C/C4=N/C(=C(C)\C5=N[C@@](C)([C@@]1([H])[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)/[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]3CCC(N)=O,"0,18248","0,15909","0,15684","0,13285","0,20490","0,20490","0,16723","0,02742",hydroxocobalamin
RMRCNWBMXRMIRW-WZHZPDAFSA-M,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)O[P@@](O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12,"0,18223","0,15882","0,15648","0,13258","0,20471","0,20471","0,16697","0,02746",vitamin-B12
RMRCNWBMXRMIRW-WZHZPDAFSA-M,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP(O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12,"0,18223","0,15882","0,15648","0,13258","0,20471","0,20471","0,16697","0,02746",vitamin-B12
JEWJRMKHSMTXPP-WDJKBINPSA-M,[H][C@]1(CO)O[C@]([H])(n2cnc3cc(C)c(C)cc23)[C@]([H])(O)[C@]1([H])OP(O)(=O)O[C@H](C)CNC(=O)CC[C@@]1(C)\C2=C(C)\C3=N\C(=C\C4=N\C(=C(C)/C5=N[C@@](C)([C@@]([H])(N2[Co+]C)[C@]1([H])CC(N)=O)[C@@](C)(CC(N)=O)[C@]5([H])CCC(N)=O)\[C@@](C)(CC(N)=O)[C@]4([H])CCC(N)=O)\C(C)(C)[C@]3([H])CCC(N)=O,"0,18149","0,15812","0,15591","0,13196","0,20392","0,20392","0,16628","0,02739",methylcobalamin
OYVAGSVQBOHSSS-WMBAVFRVSA-O,[H][C@]1(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]2O)[C@@H](O[C@H]([C@H](NC(=O)c2nc(nc(N)c2C)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(=O)N[C@@H](C)[C@H](O)[C@@H](C)C(=O)N[C@H]([C@@H](C)O)C(=O)NCCc2nc(cs2)-c2nc(cs2)C(=O)NCCC[S+](C)C)c2c[nH]cn2)O[C@H](CO)[C@H](O)[C@H]1O,"0,18127","0,16096","0,15885","0,13527","0,20288","0,20288","0,16785","0,02548",bleomycin
NHXLMOGPVYXJNR-FMFSXUEQSA-N,C[C@@H](O)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC1=O)C(O)=O)NC(=O)CNC(=O)[C@H](C)N)[C@@H](C)O,"0,18000","0,16018","0,15744","0,13501","0,20169","0,20169","0,16686","0,02517",somatostatin
JDJALSWDQPEHEJ-XXZWWZJQSA-N,[H]N[C@H]1CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC1=O)[C@@H](C)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N1CCC[C@H]1C(N)=O,"0,18525","0,17250","0,17169","0,15390","0,19991","0,19991","0,17665","0,01713",calcitonin
XNOPRXBHLZRZKH-LGMJNFKNSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O,"0,17297","0,14742","0,14518","0,11842","0,19937","0,19937","0,15667","0,03070",oxytocin
VWXRQYYUEIYXCZ-ZJBFWUDNSA-N,CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)cc1,"0,17270","0,14698","0,14468","0,11784","0,19914","0,19914","0,15627","0,03084",atosiban
BENFXAYNYRLAIU-WBNRJDGRSA-N,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,"0,17010","0,14662","0,14438","0,11872","0,19498","0,19498","0,15496","0,02883",terlipressin
OLROWHGDTNFZBH-XEMWPYQTSA-N,[H][C@]1(C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(CC)C(=O)[C@@H](C)N(C)C(=O)[C@H](CC)NC(=O)[C@]([H])([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@]([H])(CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C1=O)C(C)C,"0,16824","0,14120","0,13855","0,11175","0,19238","0,19238","0,15042","0,03082",alisporivir
NSTRIRCPWQHTIA-CPWZVOFUSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O,"0,16533","0,14029","0,13830","0,11196","0,19176","0,19176","0,14953","0,03023",carbetocin
YHTTWXCDIRTOQX-YDZOEDPBSA-N,[H][C@@]12CCCN1C(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@]([H])(CC(O)=O)NC(=O)CNC(=O)[C@]([H])(CCCNC(N)=N)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(O)=O)NC2=O)C(O)=O,"0,16580","0,14083","0,13808","0,11284","0,19137","0,19137","0,14979","0,02987",iRGD-peptide
RPJPZDVUUKWPGT-FOIHOXPVSA-N,[H][C@]1(NC(=O)[C@]([H])([C@@H](C)CC)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@]([H])([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@]([H])(C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@]([H])(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C1=O)C(C)C,"0,16685","0,13983","0,13709","0,11043","0,19107","0,19107","0,14905","0,03083",NIM811
MYPYJXKWCTUITO-LYRMYLQWSA-N,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](NC5=O)C(O)=O)c3O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)c(Cl)c2,"0,16824","0,14695","0,14432","0,12185","0,19093","0,19093","0,15446","0,02619",vancomycin
BICRTLVBTLFLRD-PTWUADNWSA-N,[H][C@@]1(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@]([H])(NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@]([H])([C@H](O)[C@H](C)C\C=C\C=C)N(C)C(=O)[C@]([H])(C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C1=O)C(C)C,"0,16574","0,13892","0,13648","0,10995","0,19001","0,19001","0,14822","0,03058",voclosporin
NUAQIRUAZSJTAI-YRPZDAAMSA-N,[H][C@@]1(C[C@](C)(N)[C@H](O)[C@H](C)O1)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1Oc1c2Oc3ccc(cc3Cl)[C@@H](O)[C@@H](NC(=O)[C@H](N)CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@]3([H])c(c2)cc1Oc1ccc(cc1Cl)[C@@H](O)[C@]1([H])NC(=O)[C@]([H])(NC3=O)c2ccc(O)c(c2)-c2c(O)cc(O)cc2[C@]([H])(NC1=O)C(O)=O,"0,16716","0,14590","0,14325","0,12094","0,18976","0,18976","0,15340","0,02610",norvancomycin
PMATZTZNYRCHOR-MAYCVHQQSA-N,CC[C@H]1NC(=O)[C@@H]([C@@H](O)[C@@H](C)C\C=C\C)N(C)C(=O)[C@@H](C(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,"0,16532","0,13831","0,13566","0,10917","0,18950","0,18950","0,14759","0,03072",cyclosporin-A
PMATZTZNYRCHOR-CGLBZJNRSA-N,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,"0,16532","0,13831","0,13566","0,10917","0,18950","0,18950","0,14759","0,03072",cyclosporin-A
BJFIDCADFRDPIO-KKSWSVFASA-N,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,"0,16209","0,13805","0,13570","0,11072","0,18708","0,18708","0,14673","0,02898",lypressin
NSFFHOGKXHRQEW-AIHSUZKVSA-N,CC[C@H](C)[C@@H]1N[C@@H]2C=Cc3c(cc(nc3[C@H]2O)C(=O)O[C@H](C)[C@@H]2NC(=O)c3csc(n3)[C@@H](NC(=O)[C@H]3CSC(=N3)\C(NC(=O)[C@@H](NC(=O)c3csc(n3)[C@]3(CCC(=N[C@@H]3c3csc2n3)c2nc(cs2)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC1=O)[C@@H](C)O)=C\C)[C@](C)(O)[C@@H](C)O)[C@H](C)O,"0,16450","0,14224","0,13863","0,11598","0,18666","0,18666","0,14960","0,02692",thiostrepton
YJDYDFNKCBANTM-QCWCSKBGSA-N,C\C=C\C[C@@H](C)C(=O)[C@@H]1N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@@H](NC1=O)C(C)C)C(C)C,"0,16122","0,13406","0,13182","0,10531","0,18542","0,18542","0,14357","0,03064",valspodar
KBZOIRJILGZLEJ-PLCMWKKKSA-N,N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,"0,16068","0,13691","0,13454","0,10991","0,18535","0,18535","0,14548","0,02863",vasopressin
MUNMIGOEDGHVLE-FGJIEJSYSA-N,[H][C@@]1(Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O,"0,15970","0,13574","0,13343","0,10870","0,18462","0,18462","0,14444","0,02882",ornipressin
HDHDTKMUACZDAA-PJHQLSNHSA-N,[H][C@]1(Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H](C)NC(=O)[C@]([H])(CSSC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O,"0,16048","0,13623","0,13346","0,10974","0,18338","0,18338","0,14466","0,02813",setmelanotide
JHVAMHSQVVQIOT-MFAJLEFUSA-N,CCCCCOc1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)c1ccc(O)cc1)[C@@H](C)O,"0,15994","0,13636","0,13334","0,10910","0,18294","0,18294","0,14433","0,02811",anidulafungin
NFLWUMRGJYTJIN-AIOUAYLGSA-N,NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,"0,15720","0,13353","0,13124","0,10686","0,18197","0,18197","0,14216","0,02851",desmopressin-acetate
SFKQVVDKFKYTNA-HLQBGFAYSA-N,[H][C@@]1(Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O,"0,15606","0,13259","0,13039","0,10606","0,18076","0,18076","0,14117","0,02833",felypressin
RJURFGZVJUQBHK-DCUCITLNSA-N,CC(C)[C@@H]1NC(=O)[C@@H](NC(=O)c2ccc(C)c3oc4c(C)c(=O)c(N)c(C(=O)N[C@H]5[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@@H](NC5=O)C(C)C)c4nc23)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O,"0,15384","0,12585","0,12323","0,09657","0,18062","0,18062","0,13602","0,03213",
RJURFGZVJUQBHK-IIXSONLDSA-N,CC(C)[C@H]1NC(=O)[C@@H](NC(=O)c2ccc(C)c3oc4c(C)c(=O)c(N)c(C(=O)N[C@H]5[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c4nc23)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O,"0,15384","0,12585","0,12323","0,09657","0,18062","0,18062","0,13602","0,03213",
DEQANNDTNATYII-KWPKQMLXSA-N,C[C@@H](O)[C@@H](CO)NC(=O)[C@H]1CSSC[C@@H](NC(=O)[C@@H](N)Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1,"0,15725","0,13318","0,13037","0,10619","0,18054","0,18054","0,14151","0,02834",octreotide
FFHBJDQSGDNCIV-VEUPWBLKSA-N,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O)C(O)=O,"0,15473","0,13071","0,12801","0,10432","0,17818","0,17818","0,13919","0,02817",
IJHWVENTEFSNBC-FHYZPQNHSA-N,[H][C@]1(CCCN=C(N)N)NC(=O)[C@H](CCCCNC(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)CC[C@@H](NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O)C(=O)N[C@@H](CCCCNC(C)C)C(N)=O,"0,15547","0,13215","0,12936","0,10617","0,17773","0,17773","0,14017","0,02731",LY2510924
VHFGEBVPHAGQPI-LXKZPTCJSA-N,[H][C@@]1(C[C@](C)(NCc2ccc(cc2)-c2ccc(Cl)cc2)[C@@H](O)[C@H](C)O1)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1Oc1c2Oc3ccc(cc3Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@]3([H])c(c2)cc1Oc1ccc(cc1Cl)[C@@H](O[C@@]1([H])C[C@](C)(N)[C@@H](O)[C@H](C)O1)[C@]1([H])NC(=O)[C@]([H])(NC3=O)c2ccc(O)c(c2)-c2c(O)cc(O)cc2[C@]([H])(NC1=O)C(O)=O,"0,15504","0,13592","0,13328","0,11315","0,17529","0,17529","0,14254","0,02357",oritavancin
JDKLPDJLXHXHNV-VEUPWBLKSA-N,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O)C(N)=O,"0,15139","0,12764","0,12508","0,10181","0,17471","0,17471","0,13613","0,02781",
